NAMESPACE                   NAME                                                                  READY   STATUS                        RESTARTS          AGE
media                       pod/lidarr-67b6dbbbb8-4t44l                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-5f4gp                                           0/1     Error                         0                 9d
media                       pod/lidarr-67b6dbbbb8-5sxxx                                           0/1     Error                         0                 9d
media                       pod/lidarr-67b6dbbbb8-5tbnz                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-76m7l                                           0/1     Error                         0                 14d
media                       pod/lidarr-67b6dbbbb8-7fqv4                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-7g9sj                                           0/1     Completed                     0                 8d
media                       pod/lidarr-67b6dbbbb8-88fm4                                           0/1     ContainerStatusUnknown        1                 9d
media                       pod/lidarr-67b6dbbbb8-98wg9                                           0/1     ContainerStatusUnknown        1                 9d
media                       pod/lidarr-67b6dbbbb8-9s5nx                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-bhqj6                                           0/1     ContainerStatusUnknown        1                 9d
media                       pod/lidarr-67b6dbbbb8-csdcx                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-cwxt5                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-d46xz                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-dg526                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-dnnsk                                           0/1     Init:ContainerStatusUnknown   1                 9d
media                       pod/lidarr-67b6dbbbb8-gr4bf                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-j44zj                                           0/1     Error                         0                 9d
media                       pod/lidarr-67b6dbbbb8-jd5nl                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-klv5q                                           0/1     Init:Error                    0                 9d
media                       pod/lidarr-67b6dbbbb8-klvtz                                           0/1     Error                         0                 9d
media                       pod/lidarr-67b6dbbbb8-kxpqj                                           0/1     ContainerStatusUnknown        1                 9d
media                       pod/lidarr-67b6dbbbb8-l4f42                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-m8bbb                                           0/1     Init:ContainerStatusUnknown   0                 12d
media                       pod/lidarr-67b6dbbbb8-mg2ll                                           0/1     Init:ContainerStatusUnknown   0                 12d
media                       pod/lidarr-67b6dbbbb8-mlfmg                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-mlqnj                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-mxzpv                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-n2df4                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-pl6r7                                           0/1     Error                         0                 9d
media                       pod/lidarr-67b6dbbbb8-qd925                                           0/1     Error                         0                 9d
media                       pod/lidarr-67b6dbbbb8-qpd5m                                           0/1     ContainerStatusUnknown        1                 9d
media                       pod/lidarr-67b6dbbbb8-rzddx                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-s28rf                                           0/1     ContainerStatusUnknown        1                 9d
media                       pod/lidarr-67b6dbbbb8-vj9nw                                           0/1     ContainerStatusUnknown        1                 9d
media                       pod/lidarr-67b6dbbbb8-vrd7f                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-vswwz                                           0/1     ContainerStatusUnknown        1                 9d
media                       pod/lidarr-67b6dbbbb8-wf2wk                                           0/1     Init:ContainerStatusUnknown   0                 9d
media                       pod/lidarr-67b6dbbbb8-wnc8n                                           0/1     Init:ContainerStatusUnknown   0                 12d
media                       pod/lidarr-67b6dbbbb8-x2w2g                                           0/1     ContainerStatusUnknown        1                 9d
media                       pod/lidarr-67b6dbbbb8-z6bgs                                           0/1     Init:ContainerStatusUnknown   0                 9d
monitoring                  pod/goldilocks-controller-b97cf9db6-j5d9x                             1/1     Running                       1 (46h ago)       2d9h
monitoring                  pod/goldilocks-dashboard-8968f4cfb-s2zfg                              1/1     Running                       1 (46h ago)       2d9h
monitoring                  pod/goldilocks-dashboard-8968f4cfb-w79n7                              1/1     Running                       1 (46h ago)       2d9h
monitoring                  pod/grafana-d7bd7846f-2pxfc                                           2/2     Running                       0                 10h
monitoring                  pod/hubble-ui-77bb4cdffd-bsmsq                                        2/2     Running                       4 (46h ago)       8d
monitoring                  pod/loki-0                                                            1/1     Running                       0                 7h21m
monitoring                  pod/prometheus-alertmanager-0                                         1/1     Running                       0                 12h
monitoring                  pod/prometheus-kube-state-metrics-6f6f8d48b7-bbq5j                    1/1     Running                       11 (15m ago)      12h
monitoring                  pod/prometheus-prometheus-node-exporter-49jtv                         1/1     Running                       1 (46h ago)       8d
monitoring                  pod/prometheus-prometheus-node-exporter-cbw2b                         1/1     Running                       1 (46h ago)       8d
monitoring                  pod/prometheus-prometheus-node-exporter-zf6n8                         1/1     Running                       1 (46h ago)       8d
monitoring                  pod/prometheus-server-65bfcbcddd-28kk9                                2/2     Running                       0                 12h
monitoring                  pod/promtail-28wwb                                                    1/1     Running                       0                 5h11m
monitoring                  pod/promtail-qnpgv                                                    1/1     Running                       0                 5h10m
monitoring                  pod/promtail-rbcnx                                                    1/1     Running                       0                 5h11m
networking                  pod/external-dns-unifi-55df497f4b-59lzt                               2/2     Running                       1 (19h ago)       19h
networking                  pod/external-dns-unifi-6fb5745878-24ffn                               0/2     ContainerStatusUnknown        2 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-2chz2                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-2jlfg                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-2r482                               0/2     ContainerStatusUnknown        1 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-2tk9l                               0/2     ContainerStatusUnknown        6 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-2vgdn                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-4ggjq                               0/2     Error                         1                 9d
networking                  pod/external-dns-unifi-6fb5745878-4w9lx                               0/2     ContainerStatusUnknown        0                 9d
networking                  pod/external-dns-unifi-6fb5745878-4wxnd                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-54jjf                               0/2     ContainerStatusUnknown        5 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-59k87                               0/2     ContainerStatusUnknown        1 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-5fvvt                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-5h5mm                               0/2     ContainerStatusUnknown        4 (8d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-6bbgs                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-6hlpp                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-6lf4r                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-6q9cd                               0/2     ContainerStatusUnknown        5 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-6ql2x                               0/2     ContainerStatusUnknown        6 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-6rwxq                               0/2     ContainerStatusUnknown        2 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-77b9l                               0/2     ContainerStatusUnknown        7 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-7br8v                               0/2     ContainerStatusUnknown        38 (9d ago)       9d
networking                  pod/external-dns-unifi-6fb5745878-7kglk                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-7m5h4                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-7shw9                               0/2     ContainerStatusUnknown        2 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-8c2kc                               0/2     ContainerStatusUnknown        0                 9d
networking                  pod/external-dns-unifi-6fb5745878-8h2tw                               0/2     ContainerStatusUnknown        7 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-8qhkw                               0/2     Error                         0                 9d
networking                  pod/external-dns-unifi-6fb5745878-9288l                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-99nth                               0/2     ContainerStatusUnknown        6 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-9gb7z                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-9psd2                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-9s7gq                               0/2     ContainerStatusUnknown        3                 8d
networking                  pod/external-dns-unifi-6fb5745878-9sfwz                               0/2     ContainerStatusUnknown        8 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-9th4b                               0/2     ContainerStatusUnknown        3 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-9v2sz                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-9z27b                               0/2     ContainerStatusUnknown        9 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-9zrl4                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-b2dhn                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-blggv                               0/2     ContainerStatusUnknown        3 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-bqmth                               0/2     ContainerStatusUnknown        4 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-c8lgz                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-cdfvc                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-crgml                               0/2     ContainerStatusUnknown        1 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-d5xzl                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-dqcpt                               0/2     Error                         0                 9d
networking                  pod/external-dns-unifi-6fb5745878-dv42w                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-dwn5j                               0/2     ContainerStatusUnknown        5 (9d ago)        9d
